SalesID,Date,Revenue,Department,Region,Sales Person,Postal Code,Store City
3003991,08/11/2016,2043,Household Appliances,China,"Torres, Hector Q.",45557-998,Barrhead
3003992,12/11/2016,8790,Household Appliances,French Polynesia,"Reynolds, Jaden P.",92205,Melipeuco
3003993,26/11/2016,9610,Household Appliances,Aruba,"Duffy, Larissa A.",K1B 9V4,Teralfene
3003994,22/11/2016,8476,Groceries,Croatia,"Odonnell, Kuame D.",61699,Raipur
3003995,18/11/2016,2029,Groceries,Namibia,"Gallegos, Sarah O.",53806,Chantemelle
3003996,19/11/2016,2771,Electronics,Central African Republic,"Ford, Jasmine B.",544311,Craco
3003997,12/11/2016,6095,Electronics,Sri Lanka,"English, Damon C.",1204,Stranraer
3003998,25/11/2016,402,Household Appliances,Bolivia,"Coleman, Avye Z.",P1L 5N9,Isnes
3003999,07/11/2016,3894,Groceries,Cocos (Keeling) Islands,"White, Stuart D.",07382-398,Nicolosi
3004000,13/11/2016,117,Electronics,Turks and Caicos Islands,"Allen, Davis F.",61100,Omaha
3004001,13/11/2016,2151,Electronics,Estonia,"Chavez, Sasha A.",43472,Konstanz
3004002,18/11/2016,8347,Groceries,Luxembourg,"Carpenter, Charity N.",M68 2XL,Matera
3004003,03/11/2016,6014,Household Appliances,Switzerland,"Cortez, Megan E.",395838,Hillsboro
3004004,13/11/2016,2222,Household Appliances,Saint Lucia,"Odonnell, Clayton J.",84826-783,Dawson Creek
3004005,25/11/2016,7143,Groceries,Wallis and Futuna,"Goodman, Tashya C.",61561,Contagem
3004006,09/11/2016,3091,Electronics,Jersey,"Anderson, Murphy B.",22480-420,Dewas
3004007,10/11/2016,8552,Groceries,Solomon Islands,"Ferrell, Lucian M.",31110,Dessel
3004008,01/11/2016,7368,Groceries,French Southern Territories,"Kennedy, Joel X.",557736,Freux
3004009,18/11/2016,5943,Household Appliances,India,"Hayes, Odysseus N.",2008,Valfabbrica
3004010,03/11/2016,4732,Household Appliances,San Marino,"Bryant, Sandra A.",26275-717,Vichuquén
3004011,14/11/2016,6409,Groceries,Cameroon,"Pate, Ella R.",24567,Biarritz
3004012,20/11/2016,8974,Household Appliances,Iceland,"Alexander, Aimee V.",19675,Curridabat
3004013,16/11/2016,5209,Electronics,"Congo, the Democratic Republic of the","Haley, Arthur I.",49-953,Nashik
3004014,14/11/2016,7750,Household Appliances,Russian Federation,"Forbes, Erasmus Y.",514618,Lembeek
3004015,25/11/2016,393,Electronics,Russian Federation,"Valenzuela, Daquan Q.",284308,Croydon
3004016,01/11/2016,3136,Household Appliances,Netherlands,"Dominguez, Reuben K.",94684-569,Lang
3004017,04/11/2016,1520,Groceries,Singapore,"Riley, Wallace R.",18533-461,Cupar
3004018,26/11/2016,9767,Electronics,Slovenia,"Gaines, Emerald I.",7805,Bras
3004019,01/11/2016,4075,Household Appliances,Jordan,"Case, Shad Z.",10200,Marsciano
3004020,12/11/2016,939,Groceries,Ethiopia,"Moreno, Cathleen T.",135081,San Francisco
3004021,21/11/2016,9012,Household Appliances,Zambia,"Hensley, Shelly C.",63447,Stewart
3004022,05/11/2016,8573,Household Appliances,Pitcairn Islands,"Mathews, Yoshio R.",R9K 4M7,Venezia
3004023,21/11/2016,556,Electronics,Saint Lucia,"Buck, Kirestin O.",299602,Leighton Buzzard
3004024,07/11/2016,9322,Household Appliances,Tokelau,"Fisher, Catherine B.",76062,s Herenelderen
3004025,09/11/2016,8739,Electronics,Oman,"Stein, Quintessa O.",82460,Lodelinsart
3004026,13/11/2016,6990,Household Appliances,"Korea, South","Anderson, Dakota K.",92432,Quillota
3004027,27/11/2016,1087,Household Appliances,Cook Islands,"Perkins, Dennis W.",03216-601,Oetingen
3004028,22/11/2016,2351,Household Appliances,Guinea-Bissau,"Ayers, Dominique Y.",A2M 7J5,Owensboro
3004029,16/11/2016,5328,Groceries,Pitcairn Islands,"Kemp, Kermit V.",126141,Dannevirke
3004030,16/11/2016,9399,Groceries,Nicaragua,"Golden, Joy C.",2968,Jauchelette
3004031,17/11/2016,4351,Electronics,Russian Federation,"Rutledge, Cassandra J.",5539MB,Pilibhit
3004032,21/11/2016,5856,Groceries,Niue,"Casey, Liberty X.",4000ZB,Jodhpur
3004033,08/11/2016,8134,Electronics,Aruba,"Sawyer, Hu F.",561896,Mold
3004034,03/11/2016,4581,Household Appliances,Gabon,"Roman, Hilda I.",66153,Arbre
3004035,25/11/2016,4115,Household Appliances,Hungary,"Coffey, Naida F.",7049,Naninne
3004036,27/11/2016,9776,Groceries,India,"English, Luke L.",33804,Gary
3004037,10/11/2016,4505,Groceries,Montserrat,"Adkins, Fallon D.",129928,Hazaribag
3004038,28/11/2016,7322,Electronics,United States,"Pickett, Elton W.",8483,Jauche
3004039,19/11/2016,5726,Household Appliances,Viet Nam,"Allison, Harrison F.",46908,Turnhout
3004040,04/11/2016,5724,Electronics,Kuwait,"Burton, Vincent M.",30107,Spittal an der Drau
3004041,21/11/2016,2954,Household Appliances,"Korea, North","Chase, Brenna Y.",2576,Subbiano
3004042,25/11/2016,7305,Electronics,Morocco,"Schmidt, Priscilla T.",75494,Nasino
3004043,19/11/2016,4424,Household Appliances,Honduras,"Lowery, Hayfa C.",8292,Patarrá
3004044,05/11/2016,9020,Groceries,Burundi,"Mcintyre, Shaeleigh Z.",65141,Yaxley
3004045,08/11/2016,9710,Household Appliances,Montenegro,"Jimenez, Kirk B.",165813,Herne
