order_id,cust_id,transaction_amount,order_date,ship_type,sales_lead,department,cancelled
1,CID000-1376,380,22/04/2019,STD,Regan Barr,Electronics,FALSE
2,CID000-447,56.75,04/04/2019,SAD,Declan Jacobson,Electronics,FALSE
3,CID000-711,467.43,19/10/2019,SAD,Cameran Armstrong,Branding,FALSE
4,CID000-638,66.67,28/05/2019,STD,Deirdre Pacheco,Branding,FALSE
5,CID000-646,365.3,04/12/2019,STD,Stuart Shaffer,Electronics,FALSE
6,CID000-1619,484.62,11/10/2019,STD,Lamar Battle,Office,FALSE
7,CID000-554,142.64,06/04/2019,STD,Iola Gibbs,Branding,FALSE
8,CID000-1376,449.94,04/10/2019,EXP,Portia Horne,Office,FALSE
9,CID000-1305,44.6,27/05/2019,NED,Alexa Bridges,Electronics,FALSE
10,CID000-1796,398.61,12/01/2019,EXP,Inga Becker,Office,FALSE
11,CID000-1470,28.67,16/04/2019,STD,Jane Mccoy,Electronics,FALSE
12,CID000-986,39.93,17/02/2020,NED,Julie Baird,Branding,FALSE
13,CID000-621,209.29,10/03/2019,EXP,Janna Mendoza,Electronics,FALSE
14,CID000-942,465.65,26/07/2019,NED,Josiah Goodwin,Office,FALSE
15,CID000-1002,341.13,06/06/2020,EXP,Rowan Beck,Office,FALSE
16,CID000-1157,302.92,12/01/2020,STD,Alma Bates,Office,1
17,CID000-705,282.76,16/03/2020,EXP,Kaseem Sellers,Office,FALSE
18,CID000-567,479.53,03/08/2019,NED,Samuel Velazquez,Electronics,FALSE
19,CID000-1006,350.48,02/04/2020,SAD,Mia Stevenson,Branding,FALSE
20,CID000-379,484.52,13/04/2020,NED,Myles Jennings,Electronics,FALSE
21,CID000-738,339.24,29/01/2019,NED,Xyla Dunn,Office,1
22,CID000-408,422.05,04/12/2019,NED,Connor Guy,Electronics,FALSE
23,CID000-806,134.56,11/04/2020,EXP,Shad Simon,Branding,FALSE
24,CID000-1366,166.21,06/02/2020,NED,Ruth Jefferson,Electronics,FALSE
25,CID000-917,468.45,16/06/2019,NED,Brady Winters,Electronics,FALSE
26,CID000-1079,71.88,06/01/2019,STD,Joshua Burris,Branding,FALSE
27,CID000-345,285.02,05/12/2019,EXP,Clinton Mccarthy,Electronics,FALSE
28,CID000-1297,136.51,08/02/2019,EXP,Dominic Carrillo,Electronics,FALSE
29,CID000-743,81.16,12/02/2019,NED,Maite Pace,Branding,FALSE
